"birdID","Sex","Lifespan","Yr","Mated","Terrs","pMate","pFledge","Fledge"
"308","M","5","1",1,32,0.982478799440544,0.227999299939256,2
"164","M","4","1",1,7,0.705031277469247,0.0139004575903527,0
"378","M","1","1",1,157,0.288462054450065,0.191072908196462,0
"142","M","3","1",1,241,0.73292833683081,0.0721878955107712,0
"368","M","1","1",1,141,0.937415552791208,0.0737905143352638,0
"436","M","6","1",1,55,0.863731190039755,0.0580325339105912,0
"381","M","2","1",1,269,0.942149461014196,0.0307597601171164,0
"472","M","2","1",1,231,0.536667606327683,0.103619544201773,0
"52","M","4","1",1,237,0.617279966266937,0.00282810756471008,0
"475","M","2","1",1,286,0.995613408274949,0.204879854572717,0
"296","M","1","1",1,155,0.908523085294291,0.172142586348032,2
"464","M","1","1",1,144,0.909952401882038,0.0108495350131905,0
"263","M","1","1",1,135,0.740654926281422,0.452904169611334,2
"476","M","2","1",1,107,0.957175076007843,0.00297061415154974,0
"406","M","4","1",1,211,0.854254644307923,0.474125950480811,1
"2","F","2","1",1,32,0,0,2
"36","F","4","1",1,7,0,0,0
"89","F","6","1",1,241,0,0,0
"94","F","1","1",1,286,0,0,0
"110","F","1","1",1,157,0,0,0
"116","F","6","1",1,141,0,0,0
"159","F","2","1",1,135,0,0,2
"183","F","5","1",1,107,0,0,0
"258","F","8","1",1,211,0,0,1
"274","F","5","1",1,144,0,0,0
"279","F","3","1",1,237,0,0,0
"293","F","1","1",1,269,0,0,0
"401","F","6","1",1,231,0,0,0
"405","F","1","1",1,155,0,0,2
"454","F","2","1",1,55,0,0,0
"153","M","2","1",0,99,0.35592647921294,0.342645263266399,0
"168","M","3","1",0,265,0.338456169934943,0.135988108954024,0
"295","M","3","1",0,270,0.656355559360236,0.394902830815516,0
"223","M","1","1",0,177,0.309601922286674,0.179973505458727,0
"5","M","1","1",0,170,0.147203674307093,0.166862184479486,0
"124","M","1","1",0,63,0.0829859953373671,0.307644205600148,0
"48","M","2","1",0,88,0.415257029701024,0.344075214831643,0
"284","M","4","1",0,69,0.719383724319902,0.333494296646677,0
"327","M","2","1",0,195,0.538184476317838,0.191771863985355,0
"9","F","3","1",0,68,0,0,0
"23","F","2","1",0,160,0,0,0
"55","F","5","1",0,181,0,0,0
"212","F","2","1",0,274,0,0,0
"324","F","3","1",0,147,0,0,0
"360","F","4","1",0,168,0,0,0
"385","F","3","1",0,251,0,0,0
